frame,time_s,flag_gap_0p2,flag_gap_0p5,flag_artifact_sigma,flag_segment_swap,flag_edge_effect,reason
25430,211.916667,False,False,False,False,False,
25431,211.925,False,False,False,False,False,
25432,211.933333,False,False,False,False,False,
25433,211.941667,False,False,False,False,False,
25434,211.95,False,False,False,False,False,
25435,211.958333,False,False,False,False,False,
25436,211.966667,False,False,False,False,False,
25437,211.975,False,False,False,False,False,
25438,211.983333,False,False,False,False,False,
25439,211.991667,False,False,False,False,False,
25440,212.0,False,False,False,False,False,
25441,212.008333,False,False,False,False,False,
25442,212.016667,False,False,False,False,False,
25443,212.025,False,False,False,False,False,
25444,212.033333,False,False,False,False,False,
25445,212.041667,False,False,False,False,False,
25446,212.05,False,False,False,False,False,
25447,212.058333,False,False,False,False,False,
25448,212.066667,False,False,False,False,False,
25449,212.075,False,False,False,False,False,
25450,212.083333,False,False,False,False,False,
25451,212.091667,False,False,False,False,False,
25452,212.1,False,False,False,False,False,
25453,212.108333,False,False,False,False,False,
25454,212.116667,False,False,False,False,False,
25455,212.125,False,False,False,False,False,
25456,212.133333,False,False,False,False,False,
25457,212.141667,False,False,False,False,False,
25458,212.15,False,False,False,False,False,
25459,212.158333,False,False,False,False,False,
25460,212.166667,False,False,False,False,False,
25461,212.175,False,False,False,False,False,
25462,212.183333,False,False,False,False,False,
25463,212.191667,False,False,False,False,False,
25464,212.2,False,False,False,False,False,
25465,212.208333,False,False,True,False,False,ARTIFACT_SIGMA
25466,212.216667,False,False,True,False,False,ARTIFACT_SIGMA
25467,212.225,False,False,False,False,False,
25468,212.233333,False,False,False,False,False,
25469,212.241667,False,False,False,False,False,
25470,212.25,False,False,False,False,False,
25471,212.258333,False,False,True,False,False,ARTIFACT_SIGMA
25472,212.266667,False,False,False,False,False,
25473,212.275,False,False,False,False,False,
25474,212.283333,False,False,True,False,False,ARTIFACT_SIGMA
25475,212.291667,False,False,False,False,False,
25476,212.3,False,False,False,False,False,
25477,212.308333,False,False,False,False,False,
25478,212.316667,False,False,False,False,False,
25479,212.325,False,False,False,False,False,
25480,212.333333,False,False,False,False,False,
25481,212.341667,False,False,False,False,False,
25482,212.35,False,False,False,False,False,
25483,212.358333,False,False,False,False,False,
25484,212.366667,False,False,False,False,False,
